PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,Pastreturn,BestFitness,RealReturn,
500,0.01,0.5,0.4,0.15,200,0.5256773,0.10667696476264249,0.17095207301209464,
500,0.01,0.5,0.4,0.15,500,0.25164524,0.33018565812649464,0.11764523657424822,
500,0.01,0.5,0.4,0.15,1000,0.30229962,0.069276163331913,0.10938673918506008,
500,0.01,0.5,0.4,0.2,200,1.4246472,0.3263762259206861,0.13623305195752544,
500,0.01,0.5,0.4,0.2,500,0.24401578,0.26748501437149996,0.2521150748117945,
500,0.01,0.5,0.4,0.2,1000,-0.07707706,0.08915532207789116,0.09359039332200263,
500,0.01,0.6,0.1,0.1,200,1.9612889,0.11298551869832889,0.11301025333422318,
500,0.01,0.6,0.1,0.1,500,0.615148,0.2877318844158124,0.18448069533016911,
500,0.01,0.6,0.1,0.1,1000,0.2018961,0.3202853001983087,0.1892631582715748,
500,0.01,0.6,0.1,0.15,200,35.05605,0.5014555529676845,0.1738714980522039,
500,0.01,0.6,0.1,0.15,500,3.8585334,0.3973468037482154,0.2120226685590891,
500,0.01,0.6,0.1,0.15,1000,0.90812296,0.2969541559658438,0.1416269334472358,
500,0.01,0.6,0.1,0.2,200,39.28802,0.12718893052133515,0.11490932530263824,
500,0.01,0.6,0.1,0.2,500,18.009253,0.3600469637194035,0.159204957899557,
500,0.01,0.6,0.1,0.2,1000,3.8636522,0.33734553755170765,0.16570552995866103,
500,0.01,0.6,0.2,0.1,200,3.2734787,0.1630923769462038,0.09136905339770361,
500,0.01,0.6,0.2,0.1,500,0.17859855,0.20607131911583076,0.10469513124268258,
500,0.01,0.6,0.2,0.1,1000,0.1344555,0.3021801676467349,0.10553422348372925,
500,0.01,0.6,0.2,0.15,200,2.4141567,0.020873994496351175,0.09457284280076327,
500,0.01,0.6,0.2,0.15,500,0.05535399,0.1016139937571394,0.07935919001333018,
500,0.01,0.6,0.2,0.15,1000,-0.12101381,0.10485373862050736,0.12635337831580007,
500,0.01,0.6,0.2,0.2,200,6.0119057,0.1892067511577612,0.11319105770081996,
500,0.01,0.6,0.2,0.2,500,1.9368328,0.24692389772205237,0.06898094884507691,
500,0.01,0.6,0.2,0.2,1000,-0.09204181,0.30910572552554477,0.1495258051330926,
500,0.01,0.6,0.3,0.1,200,4.995236,0.346195850995849,0.09606864741850132,
500,0.01,0.6,0.3,0.1,500,0.6046134,0.1476359162022583,0.10657350675180574,
500,0.01,0.6,0.3,0.1,1000,0.12517388,0.29116585518645366,0.1347242758513038,
500,0.01,0.6,0.3,0.15,200,0.82223237,0.4779877369376309,0.2153724415557685,
500,0.01,0.6,0.3,0.15,500,0.17321508,0.49971550796300124,0.16278118286721158,
500,0.01,0.6,0.3,0.15,1000,-0.26212022,0.136888257555527,0.10178937261289678,
500,0.01,0.6,0.3,0.2,200,0.8885817,0.11197204647246733,0.07820313645853301,
500,0.01,0.6,0.3,0.2,500,-0.1979267,0.3751141203199948,0.2146928774540517,
500,0.01,0.6,0.3,0.2,1000,-0.002053885,0.18092604748660546,0.1741754715309907,
500,0.01,0.6,0.4,0.1,200,0.45267215,0.34366145763182204,0.12733765746406306,
500,0.01,0.6,0.4,0.1,500,0.059055246,0.20244802888365981,0.07939345972010625,
500,0.01,0.6,0.4,0.1,1000,-0.17802685,0.1019612605320781,0.09114337797814093,
500,0.01,0.6,0.4,0.15,200,0.6039387,0.3703396118040321,0.10446819611011147,
500,0.01,0.6,0.4,0.15,500,-0.049348406,0.30671801231014195,0.15823677865010635,
500,0.01,0.6,0.4,0.15,1000,0.07688032,0.29136509609887457,0.13712126733382157,
500,0.01,0.6,0.4,0.2,200,-0.44864604,0.15560976882433175,0.2233903845686427,
500,0.01,0.6,0.4,0.2,500,0.13742712,0.6162426186208486,0.3575105999849635,
500,0.01,0.6,0.4,0.2,1000,0.2402167,0.28936382280356815,0.13707268004071504,
500,0.01,0.8,0.1,0.1,200,4.068614,0.39771665025275654,0.14130427771725843,
500,0.01,0.8,0.1,0.1,500,0.42899314,0.2488734032615868,0.15060909103264736,
500,0.01,0.8,0.1,0.1,1000,0.10385122,0.2931603364221967,0.10327020568999086,
500,0.01,0.8,0.1,0.15,200,13.294681,0.3503956017175616,0.11424679007632403,
500,0.01,0.8,0.1,0.15,500,1.8176045,0.31495934603070125,0.15676415877142016,
500,0.01,0.8,0.1,0.15,1000,0.11876433,0.11142846814324248,0.11428689150861006,
