PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,Pastreturn,BestFitness,RealReturn,
500,0.01,0.5,0.4,0.1,1000,6715696.0,0.09287000317479442,0.058648371118746566,
500,0.01,0.5,0.4,0.1,5000,6803329.0,0.09392870181675168,0.058797034698727484,
500,0.01,0.5,0.4,0.15,200,3604809.0,0.10167574717095744,0.06910790981751501,
500,0.01,0.5,0.4,0.15,500,6192564.0,0.09408835312853278,0.059854618647362794,
500,0.01,0.5,0.4,0.15,1000,6765894.0,0.09392132788539156,0.05885025918542774,
500,0.01,0.5,0.4,0.15,5000,6803329.5,0.09393321137363049,0.05879810438658076,
500,0.01,0.5,0.4,0.2,200,4207714.5,0.10442067599409359,0.06667474463392335,
500,0.01,0.5,0.4,0.2,500,6347081.0,0.09141744932296966,0.059285707062189906,
500,0.01,0.5,0.4,0.2,1000,6767107.5,0.09548865466599778,0.05924960501844106,
500,0.01,0.5,0.4,0.2,5000,6803329.0,0.09393109009151662,0.058797656517971794,
500,0.01,0.6,0.1,0.1,200,2574818.8,0.14538818153757826,0.07795069614439422,
500,0.01,0.6,0.1,0.1,500,4748386.5,0.10995702424398372,0.06594032804669772,
500,0.01,0.6,0.1,0.1,1000,5849954.5,0.09477187852887425,0.06192428794157022,
500,0.01,0.6,0.1,0.1,5000,6801023.0,0.09325813007012403,0.05864390352289422,
500,0.01,0.6,0.1,0.15,200,2974284.0,0.12185470313804722,0.07957154966000614,
500,0.01,0.6,0.1,0.15,500,3919109.8,0.10838274473907014,0.06793773195112068,
500,0.01,0.6,0.1,0.15,1000,6051064.5,0.10003363951787714,0.06087957791079378,
500,0.01,0.6,0.1,0.15,5000,6802497.0,0.09404327971925211,0.058826342103168144,
500,0.01,0.6,0.1,0.2,200,2297238.0,0.14634556470966983,0.08098606097450808,
500,0.01,0.6,0.1,0.2,500,4475101.5,0.10601688813229945,0.06334684676020558,
500,0.01,0.6,0.1,0.2,1000,6071458.0,0.09810572481688663,0.06107941988172798,
500,0.01,0.6,0.1,0.2,5000,6802596.0,0.09364094019434653,0.05873158888064369,
500,0.01,0.6,0.2,0.1,200,3674886.2,0.15777331037959144,0.07992858572479095,
500,0.01,0.6,0.2,0.1,500,5301566.0,0.09916799930176834,0.06439825662418816,
500,0.01,0.6,0.2,0.1,1000,6530238.5,0.09378334376240265,0.05962840418706383,
500,0.01,0.6,0.2,0.1,5000,6803186.0,0.09393446581349547,0.05879868498820067,
500,0.01,0.6,0.2,0.15,200,2935170.8,0.11959804348964946,0.07498785919351945,
500,0.01,0.6,0.2,0.15,500,5339445.0,0.10174087059825067,0.06434857826626264,
500,0.01,0.6,0.2,0.15,1000,6562570.5,0.0951031797303973,0.059975099505304594,
500,0.01,0.6,0.2,0.15,5000,6803301.0,0.093944937692734,0.05880088845068925,
500,0.01,0.6,0.2,0.2,200,3443038.0,0.10666014757645491,0.06975412367536006,
500,0.01,0.6,0.2,0.2,500,5149394.5,0.10190352212176382,0.0656344027522417,
500,0.01,0.6,0.2,0.2,1000,6500336.0,0.0922942130065884,0.05840431455569791,
500,0.01,0.6,0.2,0.2,5000,6803314.5,0.09390397497610554,0.058791256932616574,
500,0.01,0.6,0.3,0.1,200,4150855.2,0.09662291170798741,0.06568082233949744,
500,0.01,0.6,0.3,0.1,500,5744889.0,0.09065704497815226,0.06059442719078116,
500,0.01,0.6,0.3,0.1,1000,6669227.0,0.09295744309476098,0.05880189587913282,
500,0.01,0.6,0.3,0.1,5000,6803328.0,0.09392334900714235,0.0587957897131393,
500,0.01,0.6,0.3,0.15,200,3350846.2,0.11695437097264133,0.07305537727691386,
500,0.01,0.6,0.3,0.15,500,5933479.5,0.0933119005646855,0.060792685479458514,
500,0.01,0.6,0.3,0.15,1000,6715300.0,0.09472353102374376,0.05910719134341133,
500,0.01,0.6,0.3,0.15,5000,6803329.0,0.09393467393934503,0.05879841516484116,
500,0.01,0.6,0.3,0.2,200,3179569.8,0.10838568170945773,0.07069427642013598,
500,0.01,0.6,0.3,0.2,500,6036315.5,0.08752197178317295,0.05831234173729118,
500,0.01,0.6,0.3,0.2,1000,6716208.5,0.09834211929626402,0.06010469781394917,
500,0.01,0.6,0.3,0.2,5000,6803329.5,0.09394130644869152,0.058799954099390664,
500,0.01,0.6,0.4,0.1,200,4604293.5,0.10247423086507886,0.06449643295711316,
500,0.01,0.6,0.4,0.1,500,6138489.5,0.09416253173332806,0.060264541173639,
500,0.01,0.6,0.4,0.1,1000,6737828.5,0.09611986023791855,0.059433723165397814,
500,0.01,0.6,0.4,0.1,5000,6803329.0,0.09393691466970608,0.05879894092849502,
500,0.01,0.6,0.4,0.15,200,4424442.5,0.11902188282454122,0.06979074171310554,
500,0.01,0.6,0.4,0.15,500,6194128.0,0.0973613029480218,0.061439267489688094,
500,0.01,0.6,0.4,0.15,1000,6765047.0,0.0942784890718118,0.05903210261538736,
500,0.01,0.6,0.4,0.15,5000,6803329.5,0.09392236477599096,0.05879556652958067,
500,0.01,0.6,0.4,0.2,200,3668996.5,0.10464843273800506,0.06645604366419613,
500,0.01,0.6,0.4,0.2,500,6257230.0,0.08696057532996804,0.058331020000597415,
500,0.01,0.6,0.4,0.2,1000,6764939.5,0.09418038845066984,0.058963209091811374,
500,0.01,0.6,0.4,0.2,5000,6803329.5,0.09391720444842915,0.05879439579420809,
500,0.01,0.8,0.1,0.1,200,3128956.8,0.12513117495756,0.07760664094169527,
500,0.01,0.8,0.1,0.1,500,4713239.0,0.11045436663817457,0.07120200758514394,
500,0.01,0.8,0.1,0.1,1000,5922846.0,0.10477732306154115,0.06283361253931846,
500,0.01,0.8,0.1,0.1,5000,6801279.5,0.09373322259718839,0.058755142471833735,
500,0.01,0.8,0.1,0.15,200,2551297.5,0.14787102078724637,0.0809133718740544,
500,0.01,0.8,0.1,0.15,500,4810455.5,0.110207020386222,0.06708486038254266,
500,0.01,0.8,0.1,0.15,1000,5929845.0,0.09246051591477554,0.05928561063109074,
500,0.01,0.8,0.1,0.15,5000,6802287.0,0.09407155551467328,0.05883386375454068,
500,0.01,0.8,0.1,0.2,200,2424090.2,0.15706481957646684,0.08314636954693981,
500,0.01,0.8,0.1,0.2,500,4721408.0,0.10660419802115813,0.06740998886788441,
500,0.01,0.8,0.1,0.2,1000,5972141.0,0.0993934531003329,0.06223510236798715,
500,0.01,0.8,0.1,0.2,5000,6802507.0,0.09418849621065126,0.05886128067188343,
500,0.01,0.8,0.2,0.1,200,3559733.2,0.13421332757492263,0.07569599990214804,
500,0.01,0.8,0.2,0.1,500,4923646.5,0.10035776586239739,0.06610986192694607,
500,0.01,0.8,0.2,0.1,1000,6389469.5,0.08968226824949907,0.05841573701274954,
500,0.01,0.8,0.2,0.1,5000,6803200.5,0.09386781320229479,0.058783014506247344,
500,0.01,0.8,0.2,0.15,200,2990225.5,0.1394257199554024,0.07925117269763418,
500,0.01,0.8,0.2,0.15,500,5112669.0,0.10203349769777753,0.06718527902618321,
500,0.01,0.8,0.2,0.15,1000,6521546.5,0.09032371372712732,0.05855312023643591,
500,0.01,0.8,0.2,0.15,5000,6803292.0,0.09390682683938444,0.058791957979196806,
500,0.01,0.8,0.2,0.2,200,4181452.8,0.11310759253184605,0.06877051289295498,
500,0.01,0.8,0.2,0.2,500,5516762.0,0.0962146156461744,0.06338140442442,
500,0.01,0.8,0.2,0.2,1000,6588825.5,0.09384996023803259,0.05938491370909842,
500,0.01,0.8,0.2,0.2,5000,6803321.0,0.0939131292173232,0.058793449603790106,
500,0.01,0.8,0.3,0.1,200,4192827.2,0.11694377327661083,0.0712175458828422,
