PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,BestFitness,RealReturn,
500,0.01,0.15,0.2,0.2,500,0.9287948,0.23517702702926674,
500,0.01,0.15,0.2,0.2,1000,-321.13242,0.10868904457570439,
500,0.01,0.15,0.2,0.5,200,116.23521,0.4030680054295093,
500,0.01,0.15,0.2,0.5,500,-28.774256,0.14573802363478544,
500,0.01,0.15,0.2,0.5,1000,-76.737915,0.07034143207194511,
500,0.01,0.15,0.2,0.8,200,72.80472,0.1649521177451108,
500,0.01,0.15,0.2,0.8,500,87.80053,0.20520568403371167,
500,0.01,0.15,0.2,0.8,1000,88.43296,0.47918937455398253,
500,0.01,0.15,0.3,0.1,200,2.6393852,0.2886709281670412,
500,0.01,0.15,0.3,0.1,500,-15.644366,0.13778493171953615,
500,0.01,0.15,0.3,0.1,1000,-492.58453,0.293080735941578,
500,0.01,0.15,0.3,0.15,200,-42.98616,0.07724925965483652,
500,0.01,0.15,0.3,0.15,500,-22.209263,0.34460133950723243,
500,0.01,0.15,0.3,0.15,1000,-3832.46,0.09756013941141035,
500,0.01,0.15,0.3,0.2,200,-21.927446,0.20225034595453786,
500,0.01,0.15,0.3,0.2,500,-153.51,0.2569769605134071,
500,0.01,0.15,0.3,0.2,1000,-329.79968,0.1578753223000132,
500,0.01,0.15,0.3,0.5,200,80.04953,0.271436093292042,
500,0.01,0.15,0.3,0.5,500,40.289642,0.0488368543167498,
500,0.01,0.15,0.3,0.5,1000,-32.392616,0.19429208548617197,
500,0.01,0.15,0.3,0.8,200,104.66102,0.31576862221591434,
500,0.01,0.15,0.3,0.8,500,57.189728,0.22233883808577692,
500,0.01,0.15,0.3,0.8,1000,101.7034,0.2406268336032166,
500,0.01,0.15,0.6,0.1,200,1.9234326,0.30931643907233175,
500,0.01,0.15,0.6,0.1,500,-3654.437,0.1438803963408702,
500,0.01,0.15,0.6,0.1,1000,-334.30106,0.2292173415033781,
500,0.01,0.15,0.6,0.15,200,-83.58696,0.2054264111048824,
500,0.01,0.15,0.6,0.15,500,-6.6650486,0.06788916911237658,
500,0.01,0.15,0.6,0.15,1000,-78.99847,0.12906596013157223,
500,0.01,0.15,0.6,0.2,200,-94.511536,0.20981872160241546,
500,0.01,0.15,0.6,0.2,500,-213.47707,0.17815818097185473,
500,0.01,0.15,0.6,0.2,1000,-5642.7114,0.34801843908829855,
500,0.01,0.15,0.6,0.5,200,20.253834,0.16003952962445775,
500,0.01,0.15,0.6,0.5,500,2.6906667,0.5820823919454821,
500,0.01,0.15,0.6,0.5,1000,-4472.6904,0.19398848749435296,
500,0.01,0.15,0.6,0.8,200,79.49156,0.218833184646782,
500,0.01,0.15,0.6,0.8,500,32.965588,0.2682347345298692,
500,0.01,0.15,0.6,0.8,1000,-7528.5713,0.09990166988312438,
500,0.01,0.15,0.8,0.1,200,-15.522413,0.6010395426823246,
500,0.01,0.15,0.8,0.1,500,-4.0340195,0.12296050922679838,
500,0.01,0.15,0.8,0.1,1000,-111.74412,0.3838567058475974,
500,0.01,0.15,0.8,0.15,200,0.93462193,0.4141073530516326,
500,0.01,0.15,0.8,0.15,500,-548.43567,0.08111155693065374,
500,0.01,0.15,0.8,0.15,1000,-2449.4414,0.2136518125924025,
500,0.01,0.15,0.8,0.2,200,0.38292956,0.1437817630616362,
500,0.01,0.15,0.8,0.2,500,-2.1131458,0.0707874938452377,
500,0.01,0.15,0.8,0.2,1000,-1329.3458,0.2330831725902708,
500,0.01,0.15,0.8,0.5,200,-72.33955,0.14753763230063463,
500,0.01,0.15,0.8,0.5,500,-83.78344,0.3746588814128655,
500,0.01,0.15,0.8,0.5,1000,-2282.2444,0.10642980454925786,
500,0.01,0.15,0.8,0.8,200,11.632576,0.13786188553493903,
500,0.01,0.15,0.8,0.8,500,-2.690378,0.23419383580599507,
500,0.01,0.15,0.8,0.8,1000,30.087685,0.10321416167547819,
500,0.01,0.15,0.9,0.1,200,0.15634617,0.34694035527432937,
500,0.01,0.15,0.9,0.1,500,-1118.6556,0.13818933885427,
500,0.01,0.15,0.9,0.1,1000,-1068.8182,0.09826231473443639,
500,0.01,0.15,0.9,0.15,200,-11.814031,0.18253606825285343,
500,0.01,0.15,0.9,0.15,500,-0.1940102,0.3063099762255237,
500,0.01,0.15,0.9,0.15,1000,-245.33669,0.09185597283337472,
500,0.01,0.15,0.9,0.2,200,0.58755773,0.2972565774090062,
500,0.01,0.15,0.9,0.2,500,-2.2380292,0.20323691839048874,
500,0.01,0.15,0.9,0.2,1000,-530.7962,0.02747607758362545,
500,0.01,0.15,0.9,0.5,200,10.243477,0.17489465686540195,
500,0.01,0.15,0.9,0.5,500,-1161.7692,0.11607752783112552,
500,0.01,0.15,0.9,0.5,1000,-4238.1978,0.09886877616905458,
500,0.01,0.15,0.9,0.8,200,28.569925,0.22925050943156958,
500,0.01,0.15,0.9,0.8,500,-4627.299,0.15031477335395102,
500,0.01,0.15,0.9,0.8,1000,-1035.6956,0.13092889666297047,
500,0.01,0.3,0.1,0.1,200,3.0300171,0.12889769335349743,
500,0.01,0.3,0.1,0.1,500,-122.86808,0.19884739397757306,
500,0.01,0.3,0.1,0.1,1000,-808.07635,0.21822243642683592,
500,0.01,0.3,0.1,0.15,200,0.731931,0.1575922983942644,
500,0.01,0.3,0.1,0.15,500,4.3067245,0.4474276193904106,
500,0.01,0.3,0.1,0.15,1000,-18.636444,0.0833056753082928,
500,0.01,0.3,0.1,0.2,200,39.0806,0.06477792957776059,
500,0.01,0.3,0.1,0.2,500,3.6105762,0.28959425587370075,
500,0.01,0.3,0.1,0.2,1000,-320.79312,0.06732773440081083,
500,0.01,0.3,0.1,0.5,200,85.34968,0.18655702876837124,
500,0.01,0.3,0.1,0.5,500,90.473335,0.14086484508942396,
500,0.01,0.3,0.1,0.5,1000,77.819855,0.15777032546694766,
500,0.01,0.3,0.1,0.8,200,99.6047,0.21361054203557756,
500,0.01,0.3,0.1,0.8,500,115.08001,0.09170570751837422,
